X,Z,Type
-1625014,-11,echest
-1624816,-1,echest
-1625274,61,echest
-1625158,33,echest
-4563,-3,echest
-4346,-4,echest
-4321,-1,echest
-4286,-8,echest
-4210,-11,echest
-4210,-10,echest
-4204,-39,echest
-4191,-10,echest
-4119,-7,echest
-4603,74,echest
-4527,61,echest
-4396,12,echest
-4390,55,echest
-4390,55,echest
-4398,56,echest
-4386,71,echest
-4383,11,echest
-4371,21,echest
-4371,22,echest
-4372,25,echest
-4277,0,echest
-4239,47,echest
-4179,8,echest
-4153,70,echest
-3571416,-4,echest
-45620,49,echest
-104252,-39,echest
-460325,41,echest
-3573065,-3,echest
-162685,1,echest
-4048,-21,echest
-4017,-21,echest
-4023,-7,echest
-4015,-24,echest
-3996,-53,echest
-3895,-13,echest
-3886,-45,echest
-3878,-11,echest
-3876,-11,echest
-3810,-58,echest
-3704,-11,echest
-3657,-20,echest
-3652,-5,echest
-3608,-8,echest
-4084,1,echest
-4084,0,echest
-4084,0,echest
-4084,0,echest
-4084,0,echest
-4088,36,echest
-4081,76,echest
-4071,46,echest
-4080,73,echest
-4063,13,echest
-4034,43,echest
-3899,60,echest
-3901,57,echest
-3753,52,echest
-3736,5,echest
-3637,7,echest
-3644,26,echest
-3644,26,echest
-357311,64,echest
-2728447,-4,echest
-412785,2,echest
-163091,-63,echest
-465773,34,echest
-37032,2,echest
-2464445,-3,echest
-3155691,-3,echest
-357554,19,echest
-415285,2,echest
-1635199,2,echest
-352488,46,echest
-3582051,-4,echest
-47037,1,echest
-16316,-1,echest
-470641,-3,echest
-3741795,-40,echest
-3742003,3,echest
-41684,-25,echest
-16285,2,echest
-1054211,-4,echest
-41727,6,echest
-41566,5,echest
-3540,-62,echest
-3548,-50,echest
-3533,-6,echest
-3530,-5,echest
-3506,-5,echest
-3446,-30,echest
-3442,-7,echest
-1055022,-3,echest
-3363,-15,echest
-3208,-1,echest
-3171,-1,echest
-163446,-3,echest
-3110,-38,echest
-3526,4,echest
-3457,15,echest
-3457,15,echest
-3457,15,echest
-3466,68,echest
-3401,0,echest
-3303,3,echest
-3275,1,echest
-3275,1,echest
-3274,1,echest
-3260,5,echest
-3115,0,echest
-3115,0,echest
-3104,24,echest
-420125,-3,echest
-1055408,3,echest
-1055404,7,echest
-420007,7,echest
-419995,0,echest
-419995,0,echest
-419995,0,echest
-419995,0,echest
-1055810,-2,echest
-3160820,-3,echest
-2948593,1,echest
-1639505,-15,echest
-3318943,-3,echest
-3744781,-4,echest
-473903,13,echest
-34867,1,echest
-475556,0,echest
-2950000,-5,echest
-2949769,-7,echest
-423547,2,echest
-42044,-1,echest
-47109,-1,echest
-47440,5,echest
-105676,3,echest
-42108,2,echest
-164233,33,echest
-164149,2,echest
-3748453,-4,echest
-478558,2,echest
-427941,-3,echest
-3750024,-7,echest
-427942,2,echest
-3750004,9,echest
-3749994,70,echest
-480213,-3,echest
-42962,24,echest
-42778,8,echest
-376692,-3,echest
-164637,-3,echest
-164535,-3,echest
-164533,-3,echest
-47744,-1,echest
-431885,2,echest
-37865,5,echest
-32932,-11,echest
-33161,77,echest
-378662,1,echest
-354102,-49,echest
-2747389,-3,echest
-381133,2,echest
-48610,19,echest
-48594,18,echest
-48328,33,echest
-48317,2,echest
-31257,-9,echest
-31443,77,echest
-31283,28,echest
-31267,18,echest
-487649,44,echest
-383049,-5,echest
-106799,1,echest
-3545657,-3,echest
-3545656,-3,echest
-38374,-21,echest
-488801,-3,echest
-37922,2,echest
-2961240,3,echest
-436985,-3,echest
-436761,-3,echest
-1070502,-59,echest
-2961717,-3,echest
-383545,-3,echest
-436891,2,echest
-384256,0,echest
-2485558,-3,echest
-384780,-1,echest
-3599972,-4,echest
-354689,-5,echest
-354570,-62,echest
-354697,1,echest
-48778,-2,echest
-439160,-3,echest
-49063,2,echest
-43859,-23,echest
-491939,2,echest
-44026,2,echest
-43868,4,echest
-3335491,2,echest
-2963973,2,echest
-388034,-3,echest
-388017,-3,echest
-3603667,-3,echest
-388410,2,echest
-38448,-61,echest
-442441,25,echest
-442440,25,echest
-442439,25,echest
-442438,25,echest
-442438,21,echest
-495560,2,echest
-10538,-10,echest
-10538,-10,echest
-389261,-10,echest
-389263,-9,echest
-389262,-9,echest
-389260,-9,echest
-389260,-8,echest
-10474,-1,echest
-389234,-2,echest
-10353,-8,echest
-10597,4,echest
-10596,4,echest
-10597,0,echest
-10597,1,echest
-10597,2,echest
-10597,3,echest
-10597,0,echest
-10597,0,echest
-10597,0,echest
-10596,4,echest
-10596,4,echest
-10599,4,echest
-10567,65,echest
-10506,7,echest
-10507,19,echest
-10406,8,echest
-10357,70,echest
-10357,70,echest
-10265,13,echest
-10272,1,echest
-495918,3,echest
-49519,2,echest
-1662343,2,echest
-29620,-1,echest
-44394,7,echest
-44393,7,echest
-44394,7,echest
-44393,7,echest
-44393,5,echest
-44394,7,echest
-44393,7,echest
-44392,6,echest
-44391,6,echest
-29256,-44,echest
-166013,-4,echest
-498553,-3,echest
-393725,1,echest
-39125,-2,echest
-447921,2,echest
-39034,-10,echest
-499848,72,echest
-3184804,2,echest
-394327,2,echest
-501224,-5,echest
-449492,2,echest
-449182,2,echest
-49923,-2,echest
-395114,2,echest
-1667380,-5,echest
-1667320,-3,echest
-501546,16,echest
-44609,-3,echest
-44573,-2,echest
-502109,-2,echest
-502107,-3,echest
-44756,3,echest
-44755,3,echest
-166895,-3,echest
-3613890,5,echest
-450793,-3,echest
-451801,2,echest
-27321,25,echest
-27172,10,echest
-3615688,5,echest
-506149,-3,echest
-50544,-2,echest
-453838,-3,echest
-39557,-1,echest
-3617366,-3,echest
-3617953,-2,echest
-3617950,-2,echest
-2500492,2,echest
-2500450,2,echest
-167015,77,echest
-400317,2,echest
-455691,-3,echest
-401600,24,echest
-402053,2,echest
-456721,1,echest
-456720,1,echest
-456719,1,echest
-456718,1,echest
-510298,2,echest
-250002,-4,echest
-250004,2,echest
-1088130,7,echest
-1088124,2,echest
-2504428,-3,echest
-2504989,3,echest
-3464750,-3,echest
-3625017,-5,echest
-3625165,25,echest
-3625004,3,echest
-1574411,41,echest
-308753,2,echest
-288396,-3,echest
-3094874,-4,echest
-24051,1,echest
-23929,22,echest
